car,price,body,mileage,engV,engType,registration,year,model,drive
BMW,21700,crossover,101,2.5,Gas,yes,2007,X3,full
Lexus,21700,crossover,160,4.7,Gas,yes,2004,GX,full
Chevrolet,21700,sedan,73,2.2,Diesel,yes,2013,Captiva,full
Kia,21800,crossover,92,2.2,Diesel,yes,2011,Sorento,full
Volvo,21800,crossover,176,2.4,Diesel,yes,2008,XC90,full
Toyota,21800,crossover,170,4,Gas,yes,2006,Land Cruiser Prado,full
Nissan,21850,crossover,64,2,Petrol,yes,2013,X-Trail,full
Porsche,21900,crossover,140,3.6,Petrol,yes,2009,Cayenne,full
Hyundai,21900,crossover,71,2.2,Diesel,yes,2012,Santa FE,full
Volkswagen,21900,crossover,136,3,Diesel,yes,2008,Touareg,full
Hyundai,21900,crossover,48,2.2,Diesel,yes,2012,Santa FE,full
Audi,21900,crossover,183,4.2,Petrol,yes,2007,Q7,full
Audi,21900,other,114,3.2,Petrol,yes,2009,A5,full
Volkswagen,21900,sedan,107,3,Diesel,yes,2009,Phaeton,full
Lexus,21900,crossover,160,4.7,Petrol,yes,2004,GX,full
Toyota,21950,crossover,141,2.7,Gas,yes,2010,Venza,full
SsangYong,21950,crossover,56,2.7,Diesel,yes,2013,Rexton W,full
Toyota,21999,crossover,69,3.5,Petrol,yes,2008,Highlander,full
Mercedes-Benz,21999,sedan,200,3,Diesel,yes,2008,E-Class,full
Nissan,21999,crossover,109,3,Diesel,yes,2005,Patrol,full
Ford,22000,crossover,95,1.6,Petrol,yes,2013,Kuga,full
Kia,22000,crossover,29,2,Gas,yes,2013,Sportage,full
Audi,22000,crossover,152,4.2,Petrol,yes,2007,Q7,full
Volkswagen,22000,crossover,98,2,Diesel,yes,2013,Tiguan,full
Kia,22000,crossover,95,2.4,Petrol,yes,2012,Sorento,full
Porsche,22000,crossover,130,3.6,Petrol,yes,2007,Cayenne,full
Kia,22000,other,5,1.6,Petrol,yes,2016,Koup,full
Toyota,22000,crossover,155,2.7,Gas,yes,2008,Land Cruiser Prado,full
Mercedes-Benz,22000,crossover,225,3.5,Gas,yes,2007,ML 350,full
Mercedes-Benz,22000,crossover,160,4,Diesel,yes,2008,ML 400,full
Volkswagen,22000,crossover,123,3,Diesel,yes,2009,Touareg,full
Kia,22000,crossover,75,2.4,Gas,yes,2011,Sorento,full
Land Rover,22000,crossover,240,4.4,Petrol,yes,2003,Range Rover,full
Honda,22000,crossover,92,2,Gas,yes,2011,CR-V,full
Nissan,22100,crossover,88,3.5,Gas,yes,2011,Murano,full
Suzuki,22230,crossover,0,2.4,Petrol,yes,2016,Grand Vitara,full
Kia,22300,crossover,48,2,Diesel,yes,2014,Sportage,full
Lexus,22400,crossover,100,4.7,Gas,yes,2005,GX,full
Mitsubishi,22400,crossover,96,2.5,Diesel,yes,2011,Pajero Sport,full
Kia,22400,crossover,82,2.2,Diesel,yes,2013,Sorento,full
Lexus,22499,crossover,165,3.5,Gas,yes,2008,RX 350,full
Porsche,22500,crossover,174,3.2,Gas,yes,2006,Cayenne,full
Audi,22500,vagon,175,2,Gas,yes,2010,A4 Allroad,full
Audi,22500,sedan,159,5.2,Petrol,yes,2008,S8,full
Land Rover,22500,crossover,168,3,Diesel,yes,2007,Range Rover Sport,full
Audi,22500,sedan,124,3,Diesel,yes,2008,A8,full
Volkswagen,22500,crossover,151,3,Diesel,yes,2009,Touareg,full
Audi,22500,sedan,99,2,Other,yes,2010,A5,full
Nissan,22500,crossover,29,1.6,Petrol,yes,2014,Juke,full
Kia,22500,crossover,70,2,Diesel,yes,2013,Sportage,full
Lexus,22500,sedan,120,3.5,Petrol,yes,2010,GS 350,full
Mitsubishi,22500,other,57,2.5,Other,yes,2013,L 200,full
Nissan,22500,crossover,95,5.6,Petrol,yes,2008,Armada,full
Audi,22500,other,71,3.6,Petrol,yes,2007,Q7,full
Hyundai,22600,crossover,89,2.2,Diesel,yes,2012,Santa FE,full
Volkswagen,22600,crossover,187,3,Diesel,yes,2008,Touareg,full
Mercedes-Benz,22600,crossover,165,3,Diesel,yes,2007,ML 320,full
BMW,22600,crossover,69,3,Petrol,no,2013,X6,full
BMW,22700,crossover,216,4.8,Petrol,yes,2007,X5,full
Lexus,22700,crossover,68,NA,Other,yes,2008,RX 400,full
Toyota,22700,crossover,128,4,Gas,yes,2007,Land Cruiser Prado,full
Mitsubishi,22711.65,crossover,1,2,Petrol,yes,2016,Outlander,full
Kia,22800,crossover,45,2,Diesel,yes,2013,Sportage,full
Kia,22800,crossover,58,2,Diesel,yes,2013,Sportage,full
Toyota,22800,other,55,2.5,Petrol,yes,2013,Camry,full
Volkswagen,22800,other,161,2,Diesel,yes,2011,Amarok,full
Mitsubishi,22800,crossover,43,2.4,Petrol,yes,2013,Outlander,full
Porsche,22900,crossover,117,4.8,Petrol,yes,2007,Cayenne,full
Mercedes-Benz,22900,sedan,131,5.5,Gas,yes,2008,S 500,full
Toyota,22900,crossover,132,2.7,Gas,yes,2012,Venza,full
Toyota,22900,crossover,34,2,Petrol,yes,2012,Rav 4,full
Mitsubishi,22900,crossover,69,2.4,Petrol,yes,2014,Outlander XL,full
Mitsubishi,22900,crossover,69,2.4,Petrol,yes,2014,Outlander,full
Kia,22999,crossover,72,2.2,Diesel,yes,2012,Sorento,full
Land Rover,22999,crossover,167,4.2,Gas,yes,2006,Range Rover Evoque,full
Toyota,22999,crossover,152,4,Gas,yes,2008,Land Cruiser Prado,full
Audi,22999,crossover,125,4.2,Petrol,yes,2008,Q7,full
Mitsubishi,23000,crossover,125,3,Gas,yes,2008,Pajero Wagon,full
Toyota,23000,other,211,4,Gas,yes,2007,Land Cruiser Prado,full
Kia,23000,crossover,70,2.2,Diesel,yes,2013,Sorento,full
Audi,23000,crossover,180,3.6,Gas,yes,2007,Q7,full
Audi,23000,crossover,240,4.2,Petrol,yes,2007,Q7,full
Land Rover,23000,crossover,140,2.7,Diesel,yes,2007,Range Rover Sport,full
Kia,23000,crossover,32,2,Diesel,yes,2014,Sportage,full
Toyota,23000,crossover,233,4,Gas,yes,2006,Land Cruiser Prado,full
Audi,23000,crossover,167,3.6,Petrol,yes,2008,Q7,full
Toyota,23200,crossover,160,4,Petrol,yes,2008,Land Cruiser Prado,full
Chevrolet,23200,crossover,64,2.2,Diesel,yes,2013,Captiva,full
Toyota,23300,crossover,40,2,Petrol,yes,2014,Rav 4,full
Toyota,23300,crossover,93,2.7,Other,yes,2011,Venza,full
Audi,23333,other,150,4.2,Petrol,yes,2007,Q7,full
Suzuki,23341.5,crossover,0,1.6,Petrol,yes,2016,Vitara,full
Toyota,23400,crossover,120,4,Petrol,yes,2007,Land Cruiser Prado,full
Audi,23400,crossover,105,4.2,Gas,yes,2007,Q7,full
Toyota,23499,crossover,174,4,Gas,yes,2008,Land Cruiser Prado,full
Audi,23500,crossover,116,4.2,Petrol,yes,2008,Q7,full
Porsche,23500,crossover,97,4.5,Petrol,yes,2004,Cayenne,full
Audi,23500,other,83,2,Petrol,yes,2009,A5,full
Lexus,23500,sedan,90,3.5,Petrol,yes,2010,GS 350,full
Nissan,23500,crossover,154,2.49,Diesel,yes,2011,Murano,full
Kia,23500,crossover,125,2.2,Diesel,yes,2012,Sorento,full
BMW,23500,crossover,180,4.8,Petrol,yes,2008,X5,full
Chevrolet,23500,crossover,76,2.2,Diesel,yes,2013,Captiva,full
Audi,23500,crossover,119,4.2,Gas,yes,2007,Q7,full
BMW,23500,crossover,140,4.8,Petrol,yes,2008,X5,full
Mercedes-Benz,23500,sedan,200,5.5,Petrol,yes,2008,S 550,full
Audi,23500,crossover,245,3,Diesel,yes,2007,Q7,full
Mercedes-Benz,23500,van,161,2.2,Diesel,yes,2011,Vito пасс.,full
Ford,23500,other,5,2.2,Diesel,yes,2014,Ranger,full
Porsche,23500,crossover,136,3.6,Petrol,yes,2008,Cayenne,full
Porsche,23500,crossover,100,3.6,Petrol,yes,2008,Cayenne,full
Toyota,23660,crossover,125,3.5,Gas,yes,2013,Highlander,full
Audi,23800,crossover,205,4.2,Gas,yes,2007,Q7,full
Mitsubishi,23800,crossover,45,2.5,Diesel,yes,2015,Pajero Sport,full
Hyundai,23800,crossover,115,2.2,Diesel,yes,2011,Santa FE,full
Volvo,23880,sedan,127,3,Petrol,yes,2011,S80,full
BMW,23900,crossover,235,3,Diesel,yes,2007,X5,full
Mercedes-Benz,23900,sedan,96,3.5,Petrol,yes,2009,S 350,full
Porsche,23900,crossover,74,4.8,Petrol,yes,2008,Cayenne,full
Audi,23900,sedan,180,3,Diesel,yes,2009,A6,full
BMW,23900,crossover,162,4.8,Petrol,yes,2007,X5,full
Mercedes-Benz,23900,sedan,187,5.5,Petrol,yes,2007,S 550,full
MINI,23950,hatch,70,1.6,Petrol,yes,2012,Countryman,full
Kia,23999,crossover,14,2.2,Diesel,yes,2012,Sorento,full
BMW,23999,crossover,194,3,Petrol,yes,2007,X5,full
Porsche,23999,crossover,119,4.8,Petrol,yes,2008,Cayenne,full
Hyundai,23999,crossover,62,2.2,Diesel,yes,2012,Santa FE,full
Mercedes-Benz,23999,sedan,204,3.5,Petrol,yes,2008,S 350,full
Lexus,23999,crossover,270,4.7,Gas,yes,2005,LX 470,full
Toyota,24000,crossover,73,4,Petrol,yes,2008,Land Cruiser Prado,full
BMW,24000,crossover,108,2,Diesel,yes,2012,X1,full
Toyota,24000,crossover,152,4,Gas,yes,2006,Land Cruiser Prado,full
Toyota,24000,crossover,132,4,Petrol,yes,2008,Land Cruiser Prado,full
Mitsubishi,24000,crossover,20,2.5,Diesel,yes,2013,Pajero Sport,full
Toyota,24000,crossover,270,4.2,Diesel,yes,1994,Land Cruiser 80,full
BMW,24100,vagon,112,3,Petrol,yes,2011,X1,full
Porsche,24200,crossover,108,3.6,Petrol,yes,2007,Cayenne,full
Hyundai,24250,crossover,1,2,Petrol,yes,2016,Tucson,full
Mercedes-Benz,24300,sedan,150,3.5,Gas,yes,2008,S 350,full
BMW,24500,crossover,170,4.8,Gas,yes,2007,X5,full
Toyota,24500,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,full
Audi,24500,sedan,122,4,Diesel,yes,2008,A8,full
BMW,24500,crossover,195,4.8,Petrol,yes,2007,X5,full
Mitsubishi,24500,crossover,11,2.5,Diesel,yes,2012,Pajero Sport,full
Mercedes-Benz,24500,sedan,163,5.5,Gas,yes,2007,S 550,full
Mercedes-Benz,24500,crossover,236,5,Petrol,yes,2000,G 500,full
BMW,24500,crossover,170,3,Diesel,yes,2006,X5,full
Lexus,24555,crossover,152,4.7,Gas,yes,2007,LX 470,full
Land Rover,24777,crossover,198,4.2,Gas,yes,2008,Range Rover,full
Toyota,24800,crossover,90,4,Petrol,yes,2008,FJ Cruiser,full
Mercedes-Benz,24800,vagon,118,3,Diesel,yes,2010,E-Class,full
Suzuki,24823.5,crossover,0,2.4,Petrol,yes,2016,Grand Vitara,full
Audi,24900,sedan,163,4.2,Diesel,yes,2008,A8,full
Mercedes-Benz,24900,sedan,140,5.5,Petrol,yes,2009,S 550,full
Infiniti,24900,crossover,49,3.5,Petrol,yes,2009,FX 35,full
Porsche,24900,crossover,88,4.8,Petrol,yes,2008,Cayenne,full
Mercedes-Benz,24990,sedan,85,5.5,Petrol,yes,2008,S 500,full
Audi,24996,sedan,98,3.2,Petrol,yes,2009,A5,full
Toyota,24999,crossover,153,4,Petrol,yes,2007,Land Cruiser Prado,full
Nissan,25000,crossover,67,2,Diesel,yes,2014,X-Trail,full
Porsche,25000,crossover,130,3,Diesel,no,2012,Cayenne,full
Toyota,25000,crossover,80,4,Gas,yes,2008,FJ Cruiser,full
Land Rover,25000,crossover,175,4.2,Gas,yes,2007,Range Rover,full
Toyota,25000,crossover,115,5.7,Petrol,yes,2007,Tundra,full
Audi,25000,crossover,112,3.2,Petrol,yes,2010,Q5,full
BMW,25000,crossover,130,3,Diesel,yes,2012,X5,full
BMW,25000,crossover,150,30,Petrol,yes,2007,X5,full
Honda,25000,crossover,20,2,Petrol,yes,2012,CR-V,full
Audi,25000,other,60,2,Petrol,yes,2011,A5,full
Porsche,25000,crossover,128,4.8,Petrol,yes,2007,Cayenne,full
Mercedes-Benz,25000,sedan,130,5.5,Petrol,yes,2007,S 550,full
Skoda,25013.23305,crossover,1,1.8,Petrol,yes,2016,Yeti,full
Volkswagen,25200,crossover,78,2,Diesel,yes,2012,Tiguan,full
Toyota,25200,crossover,128,4,Gas,yes,2007,Land Cruiser Prado,full
Toyota,25250,crossover,112,4.5,Gas,yes,2007,Land Cruiser 100,full
Land Rover,25300,crossover,127,3.6,Diesel,yes,2007,Range Rover,full
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,full
Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full
Ford,25400,crossover,40,2,Diesel,yes,2014,Kuga,full
Toyota,25500,crossover,200,4,Petrol,yes,2007,Land Cruiser Prado,full
BMW,25500,other,163,4.8,Petrol,yes,2008,X5,full
Audi,25500,vagon,181,3,Petrol,yes,2009,A6 Allroad,full
Toyota,25500,other,103,3.5,Petrol,yes,2010,Venza,full
BMW,25500,crossover,130,3,Gas,yes,2007,X5,full
Mercedes-Benz,25500,crossover,77,3.5,Petrol,yes,2008,ML 350,full
Mercedes-Benz,25500,crossover,200,4,Diesel,yes,2007,GL 420,full
Toyota,25555,crossover,128,4.7,Gas,yes,2004,Land Cruiser 100,full
Hyundai,25600,crossover,94,2,Diesel,yes,2013,IX35,full
Mercedes-Benz,25700,crossover,130,4.7,Gas,yes,2008,GL 450,full
Infiniti,25700,crossover,120,3.5,Petrol,yes,2009,FX 35,full
BMW,25800,crossover,205,3,Diesel,yes,2008,X5,full
Toyota,25900,crossover,97,4,Petrol,yes,2009,Land Cruiser Prado,full
Honda,25900,other,54,3.5,Petrol,yes,2012,Crosstour,full
Audi,25900,sedan,104,2.8,Petrol,yes,2010,A6,full
Lexus,25999,crossover,207,4.7,Gas,yes,2007,LX 470,full
Toyota,25999,other,108,4,Petrol,yes,2008,Land Cruiser Prado,full
Mitsubishi,25999,crossover,86,3.2,Diesel,yes,2011,Pajero Wagon,full
Hyundai,26000,crossover,33,2,Diesel,yes,2013,IX35,full
BMW,26000,crossover,270,4.8,Petrol,yes,2008,X5,full
Infiniti,26000,crossover,92,3.5,Petrol,yes,2009,FX 35,full
Honda,26000,crossover,68,2,Petrol,yes,2012,CR-V,full
Infiniti,26000,crossover,49,3.5,Petrol,yes,2008,FX 35,full
Kia,26000,crossover,82,3,Diesel,yes,2011,Mohave,full
Honda,26000,crossover,68,2,Petrol,yes,2012,CR-V,full
Nissan,26033.553,crossover,0,1.6,Diesel,yes,2016,X-Trail,full
Toyota,26200,other,73,2.5,Diesel,yes,2012,Hilux,full
Ford,26300,crossover,75,2,Diesel,yes,2014,Kuga,full
Infiniti,26400,crossover,130,3.5,Petrol,yes,2009,FX 35,full
Porsche,26500,crossover,160,4.8,Petrol,yes,2008,Cayenne,full
Toyota,26500,crossover,21,2,Petrol,yes,2013,Rav 4,full
Volvo,26500,crossover,164,2.4,Diesel,yes,2011,XC70,full
Land Rover,26500,crossover,260,4.2,Gas,yes,2008,Range Rover,full
Land Rover,26500,crossover,53,2.2,Diesel,yes,2012,Freelander,full
Nissan,26500,other,55,2.5,Diesel,yes,2013,Pathfinder,full
Land Rover,26500,crossover,192,4.2,Gas,yes,2009,Range Rover,full
Toyota,26500,crossover,102,2.5,Diesel,yes,2013,Hilux,full
Land Rover,26700,crossover,171,3.6,Diesel,yes,2008,Range Rover Sport,full
Mercedes-Benz,26800,sedan,162,5.5,Petrol,yes,2007,S 500,full
Mitsubishi,26850,crossover,84,3.2,Diesel,yes,2012,Pajero Wagon,full
Porsche,26900,crossover,135,4.8,Petrol,yes,2008,Cayenne,full
BMW,26900,crossover,170,3,Diesel,yes,2008,X5,full
Lexus,26900,crossover,161,4.7,Petrol,yes,2006,LX 470,full
Kia,26900,crossover,76,2.2,Diesel,yes,2013,Sorento,full
Ford,26900,crossover,47,2,Diesel,yes,2015,Kuga,full
BMW,26900,crossover,140,4.8,Petrol,yes,2009,X5,full
Toyota,26900,crossover,115,4,Gas,yes,2008,Land Cruiser Prado,full
Mercedes-Benz,26900,sedan,150,5.5,Petrol,yes,2008,S 550,full
Toyota,26900,crossover,118,2.7,Petrol,yes,2011,Land Cruiser Prado,full
Toyota,26900,crossover,119,4,Gas,yes,2008,Land Cruiser Prado,full
BMW,26999,crossover,180,4.8,Gas,yes,2008,X5,full
Nissan,27000,van,14,1.6,Diesel,yes,2015,Qashqai,full
Volkswagen,27000,other,90,2,Diesel,yes,2014,Tiguan,full
Audi,27000,other,222,NA,Diesel,yes,2007,Q7,full
Lexus,27000,crossover,150,4.7,Gas,yes,2007,GX,full
Hyundai,27000,crossover,0,2,Petrol,yes,2016,Tucson,full
Land Rover,27000,crossover,126,4.2,Petrol,yes,2007,Range Rover Sport,full
Jeep,27000,crossover,40,3.8,Other,yes,2009,Wrangler,full
Toyota,27000,other,105,2.5,Diesel,yes,2013,Hilux,full
Toyota,27000,other,192,3,Diesel,yes,2007,Hilux,full
Porsche,27300,crossover,136,4.8,Petrol,yes,2009,Cayenne,full
Mercedes-Benz,27300,crossover,149,5.46,Petrol,yes,2009,ML 550,full
Audi,27300,other,150,4.2,Petrol,yes,2007,Q7,full
Audi,27300,other,65,2,Petrol,yes,2011,TT,full
Mercedes-Benz,27300,crossover,185,3,Diesel,yes,2008,GL 320,full
Toyota,27400,crossover,52,3.5,Gas,yes,2012,Venza,full
Land Rover,27500,other,174,3.6,Diesel,yes,2008,Range Rover,full
Lexus,27500,crossover,150,4.7,Gas,yes,2005,LX 470,full
Audi,27500,sedan,150,2,Petrol,yes,2013,A6,full
Jeep,27500,crossover,250,3,Diesel,yes,2012,Grand Cherokee,full
Jeep,27500,crossover,93,6.1,Petrol,yes,2007,Grand Cherokee,full
Land Rover,27500,crossover,190,3.6,Diesel,yes,2008,Range Rover,full
Audi,27500,crossover,147,3,Diesel,yes,2008,Q7,full
Toyota,27500,crossover,85,4,Petrol,yes,2007,Land Cruiser Prado,full
Mercedes-Benz,27500,crossover,152,6.3,Petrol,yes,2007,ML 63 AMG,full
Infiniti,27500,crossover,98,3.5,Petrol,yes,2008,FX 35,full
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,full
Lexus,27800,crossover,107,4.7,Petrol,yes,2008,GX,full
BMW,27800,crossover,140,3,Diesel,yes,2009,X5,full
Hyundai,27800,crossover,93,3,Diesel,yes,2012,ix55 (Veracruz),full
Toyota,27800,crossover,98,2.2,Diesel,yes,2013,Rav 4,full
Honda,27802.50525,crossover,1,2.4,Petrol,yes,2016,CR-V,full
BMW,27900,crossover,140,3,Diesel,yes,2009,X5,full
Volkswagen,28000,crossover,132,2,Diesel,yes,2011,Amarok,full
Volkswagen,28000,van,163,2,Diesel,yes,2010,Multivan,full
Toyota,28000,crossover,95,3.5,Gas,yes,2011,Highlander,full
Mercedes-Benz,28000,other,250,3,Diesel,yes,2008,GL 320,full
BMW,28000,crossover,116,NA,Petrol,yes,2008,X5,full
Mazda,28000,crossover,76,2.5,Petrol,yes,2014,CX-5,full
Infiniti,28000,crossover,34,3.7,Petrol,yes,2010,EX 37,full
Land Rover,28200,crossover,138,4.4,Petrol,yes,2008,Range Rover,full
Toyota,28350,crossover,92,2.2,Diesel,yes,2013,Rav 4,full
Hyundai,28400,crossover,1,2,Petrol,yes,2016,Tucson,full
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5,full
Volkswagen,28500,other,38,2,Diesel,yes,2015,Tiguan,full
Toyota,28500,crossover,38,2.2,Diesel,yes,2015,Rav 4,full
Mercedes-Benz,28500,crossover,210,3.2,Diesel,yes,2007,GL 320,full
Toyota,28500,crossover,97,3.5,Petrol,yes,2012,Highlander,full
Mercedes-Benz,28500,crossover,190,3.2,Diesel,yes,2008,ML 320,full
Hyundai,28500,crossover,0,2,Petrol,yes,2016,Tucson,full
Audi,28500,crossover,74,2,Petrol,yes,2010,Q5,full
Mitsubishi,28500,crossover,0,2,Petrol,yes,2016,Outlander,full
Toyota,28500,crossover,107,3.5,Gas,yes,2011,Highlander,full
Mercedes-Benz,28500,sedan,86,5.5,Petrol,yes,2007,S 500,full
Nissan,28500,crossover,47,2.5,Diesel,yes,2011,Pathfinder,full
Mercedes-Benz,28500,sedan,90,5.5,Petrol,yes,2007,S 500,full
Lexus,28500,sedan,130,4.6,Petrol,yes,2009,LS 460,full
Nissan,28502.565,crossover,1,2,Petrol,yes,2014,X-Trail,full
Ford,28560.6594,crossover,0,2,Diesel,yes,2016,Kuga,full
Toyota,28600,crossover,66,2.2,Diesel,yes,2013,Rav 4,full
Toyota,28700,crossover,100,3.5,Petrol,yes,2012,Highlander,full
Toyota,28700,crossover,92,3.5,Gas,yes,2012,Highlander,full
Toyota,28700,crossover,80,3.5,Gas,yes,2012,Highlander,full
Mitsubishi,28800,crossover,100,3.2,Diesel,yes,2013,Pajero Wagon,full
Mazda,28800,crossover,41,2.2,Diesel,yes,2014,CX-5,full
Toyota,28800,crossover,29,2.2,Diesel,yes,2015,Rav 4,full
Hyundai,28888,crossover,20,2.2,Diesel,yes,2013,Santa FE,full
Toyota,28900,crossover,20,2.5,Petrol,yes,2013,Rav 4,full
Toyota,28900,crossover,83,3.5,Gas,yes,2012,Highlander,full
Toyota,28900,crossover,83,NA,Petrol,yes,2012,Highlander,full
Volkswagen,28900,crossover,1,2,Petrol,yes,2016,Tiguan,full
Toyota,28900,crossover,120,3.5,Petrol,yes,2011,Highlander,full
Kia,28900,crossover,58,2.2,Diesel,yes,2013,Sorento,full
Nissan,28900,crossover,25,2,Petrol,yes,2014,X-Trail,full
Audi,28950,crossover,60,2,Petrol,yes,2012,Q5,full
Land Rover,28999,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full
Mercedes-Benz,29000,crossover,139,3.5,Gas,yes,2009,ML 350,full
Audi,29000,vagon,213,3,Diesel,yes,2010,A6 Allroad,full
Toyota,29000,crossover,120,4,Gas,yes,2008,Land Cruiser Prado,full
Infiniti,29000,sedan,98,3.7,Petrol,yes,2013,M37,full
Toyota,29000,vagon,60,2.2,Diesel,yes,2013,Rav 4,full
Land Rover,29500,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full
Subaru,29500,crossover,0,2.5,Petrol,yes,2015,Forester,full
Mercedes-Benz,29500,crossover,253,5,Petrol,yes,2003,G 500,full
BMW,29500,crossover,189,3,Diesel,yes,2009,X5,full
Toyota,29500,crossover,90,2.7,Gas,yes,2010,Land Cruiser Prado,full
Mercedes-Benz,29500,sedan,135,5.5,Petrol,yes,2008,S 550,full
Mercedes-Benz,29500,crossover,180,3.2,Diesel,yes,2008,GL 320,full
Mercedes-Benz,29500,sedan,134,5,Petrol,yes,2008,S 500,full
Toyota,29500,crossover,63,4,Petrol,yes,2008,FJ Cruiser,full
Mercedes-Benz,29500,crossover,55,2.2,Diesel,no,2013,ML 250,full
Land Rover,29500,crossover,141,3.6,Diesel,yes,2008,Range Rover,full
Mazda,29500,crossover,40,2.2,Diesel,yes,2015,CX-5,full
Hyundai,29800,other,49,2.4,Petrol,yes,2013,Santa FE,full
Audi,29800,crossover,151,3,Diesel,yes,2007,Q7,full
BMW,29900,crossover,235,3,Diesel,yes,2009,X5,full
Ford,29900,crossover,68,2,Diesel,yes,2015,Kuga,full
BMW,29900,crossover,182,3,Petrol,yes,2008,X6,full
Toyota,29900,crossover,117,3,Diesel,yes,2008,Land Cruiser Prado,full
Kia,29900,crossover,62,2.2,Diesel,yes,2015,Sorento,full
Infiniti,29900,crossover,113,3.5,Gas,yes,2008,FX 35,full
Toyota,29900,crossover,144,4,Gas,yes,2008,Land Cruiser 200,full
Hyundai,29999,crossover,52,2.2,Diesel,yes,2014,Santa FE,full
Audi,29999,sedan,97,3,Petrol,yes,2011,S5,full
Audi,29999,other,90,3,Petrol,yes,2011,A5,full
Land Rover,29999,other,130,3.6,Diesel,yes,2009,Range Rover Sport,full
Land Rover,30000,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full
Toyota,30000,crossover,85,2.7,Gas,yes,2010,Land Cruiser Prado,full
Mercedes-Benz,30000,crossover,97,2.14,Diesel,yes,2011,ML 250,full
Toyota,30500,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full
BMW,30500,hatch,110,4.4,Petrol,yes,2008,X6,full
Honda,30500,crossover,0,2.4,Petrol,yes,2015,CR-V,full
Mercedes-Benz,30500,crossover,150,5.5,Petrol,yes,2002,G 500,full
Mitsubishi,30500,sedan,72,2,Petrol,yes,2006,Lancer Evolution,full
Audi,30500,sedan,110,3,Petrol,yes,2011,A6,full
Audi,30500,vagon,152,3,Diesel,yes,2012,A6,full
BMW,30500,crossover,147,3,Diesel,yes,2008,X5,full
Toyota,30600,crossover,39,2.2,Diesel,yes,2014,Rav 4,full
Audi,30650,vagon,35,2,Petrol,yes,2013,A4 Allroad,full
Toyota,30800,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full
Audi,30900,hatch,195,3,Diesel,yes,2010,A5,full
Audi,30900,crossover,27,2,Petrol,yes,2011,Q5,full
Audi,30900,vagon,118,2,Petrol,yes,2013,A4 Allroad,full
Hyundai,30900,crossover,0,2,Petrol,yes,2016,Tucson,full
Audi,30900,crossover,70,2,Petrol,yes,2012,Q3,full
Hyundai,30900,crossover,0,2,Petrol,yes,2016,Tucson,full
Toyota,30950,other,45,4.6,Petrol,yes,2013,Tundra,full
Toyota,30990,crossover,68,2.7,Gas,yes,2012,Land Cruiser Prado,full
Acura,30999,crossover,32,3.7,Other,yes,2010,ZDX,full
Toyota,31000,crossover,86,2.2,Diesel,yes,2014,Rav 4,full
Mercedes-Benz,31000,crossover,220,3.2,Diesel,yes,2008,GL 320,full
BMW,31111,sedan,117,4.4,Petrol,yes,2010,750,full
BMW,31500,crossover,130,3,Diesel,yes,2010,X5,full
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full
Land Rover,31500,crossover,100,2.2,Diesel,yes,2013,Freelander,full
Volkswagen,31500,crossover,1,2,Petrol,yes,2014,Tiguan,full
Lexus,31900,crossover,54,3.5,Gas,yes,2010,RX 350,full
Mercedes-Benz,31990,crossover,95,4.7,Petrol,yes,2010,GL 450,full
Lexus,31999,crossover,160,3.5,Petrol,yes,2010,RX 350,full
Audi,31999,sedan,107,3,Diesel,yes,2009,A8,full
Mercedes-Benz,32000,crossover,96,3.5,Petrol,yes,2010,ML 350,full
Volkswagen,32000,sedan,144,3.6,Petrol,yes,2013,Passat CC,full
BMW,32000,crossover,52,3,Petrol,yes,2012,X5,full
BMW,32000,crossover,138,3,Petrol,yes,2009,X6,full
Mercedes-Benz,32000,crossover,176,3.2,Gas,yes,2003,G 320,full
Infiniti,32000,crossover,87,3.7,Gas,yes,2011,FX 37,full
BMW,32000,crossover,108,3,Petrol,yes,2008,X6,full
Subaru,32300,crossover,0,2,Petrol,yes,2016,Forester,full
Volkswagen,32400,crossover,50,2,Diesel,yes,2014,Tiguan,full
BMW,32500,crossover,152,3,Diesel,yes,2008,X5,full
Land Rover,32500,crossover,86,5,Petrol,yes,2010,Range Rover Sport,full
Lexus,32500,crossover,79,3.5,Petrol,yes,2011,RX 350,full
Mercedes-Benz,32500,crossover,168,3.2,Diesel,yes,2009,GL 320,full
Lexus,32500,sedan,110,4.6,Petrol,yes,2010,LS 460,full
Mercedes-Benz,32500,crossover,254,3.2,Diesel,yes,2008,GL 320,full
Audi,32500,crossover,108,2,Diesel,yes,2012,Q5,full
Lexus,32555,crossover,77,3.5,Petrol,yes,2011,RX 350,full
Mercedes-Benz,32800,crossover,109,3,Diesel,yes,2011,ML 350,full
